build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","q8_0","q8_0","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","128","100","2026-05-14T05:21:25Z","4554830633","41530925","28.103894","0.255208"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","q8_0","q8_0","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","512","128","100","2026-05-14T05:21:48Z","5532584055","21516878","115.679710","0.448280"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","q8_0","q8_0","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","512","0","120","2026-05-14T05:22:17Z","958225076","19640684","534.496156","10.668021"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","q8_0","q8_0","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","128","120","2026-05-14T05:22:22Z","4518068709","28006017","28.331553","0.174216"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","q8_0","q8_0","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","512","128","120","2026-05-14T05:22:45Z","5545102717","4714832","115.417225","0.098109"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","q8_0","q8_0","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","512","0","160","2026-05-14T05:23:14Z","983747086","4557145","520.467889","2.405451"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","q8_0","q8_0","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","128","160","2026-05-14T05:23:20Z","4518903362","4634545","28.325480","0.029046"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","q8_0","q8_0","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","512","128","160","2026-05-14T05:23:42Z","5554178331","7068625","115.228715","0.146684"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","q8_0","q8_0","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","512","0","200","2026-05-14T05:24:11Z","979241990","2309219","522.855716","1.230322"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","q8_0","q8_0","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","128","200","2026-05-14T05:24:17Z","4510556895","7953699","28.377941","0.050010"
